name,state,orig_county,established,discontinued,continuous,stamp_index,duration,latitude,longitude,state_full_name
MARSH CENTER,ID,Bannock,1910.0,1912.0,True,6.0,2.0,42.50825,-112.2497,Idaho
MARTIN CITY,MT,Flathead,1947.0,1975.0,True,1.0,28.0,48.3908,-114.0379,Montana
MARYHILL,WA,Klickitat,1922.0,1963.0,True,1.0,41.0,45.68707,-120.8137,Washington
MASCHETAH,MT,Big Horn,1915.0,1937.0,True,2.0,22.0,45.83332,-107.1673,Montana
MASCOT,AZ,Cochise,1916.0,1918.0,True,7.0,2.0,32.20869,-109.5901,Arizona
MASON,OK,Okfuskee,1910.0,1981.0,True,1.0,71.0,35.56619,-96.35223,Oklahoma
MASON CITY,WA,Okanogan,1934.0,1943.0,True,1.0,9.0,47.96654,-118.9678,Washington
MASONIA,ID,Shoshone,1916.0,1937.0,True,3.0,21.0,47.45159,-116.1807,Idaho
MASOPIA,SD,Bennett,1926.0,1928.0,True,5.0,2.0,43.25166,-101.584,South Dakota
MASSACK,CA,Plumas,1917.0,1939.0,True,2.0,22.0,39.926,-120.8377,California
MASSADONA,CO,Moffat,1917.0,1932.0,True,4.0,15.0,40.25275,-108.6404,Colorado
MASSEY LAKE,TX,Anderson,1923.0,1955.0,True,1.0,32.0,31.81211,-95.8683,Texas
MASTERSON,TX,Moore,1950.0,1986.0,True,1.0,36.0,35.63588,-101.9602,Texas
MATANUSKA,AK,,1914.0,1941.0,True,4.0,27.0,61.54194,-149.2297,Alaska
MATHER,CA,Tuolumne,1921.0,1967.0,False,1.0,46.0,37.88215,-119.8557,California
MATHER FIELD,CA,Sacramento,1948.0,1956.0,True,1.0,8.0,38.56657,-121.2969,California
MATHESON,CA,Shasta,1922.0,1954.0,True,1.0,32.0,40.66293,-122.4611,California
MAUD,OR,Jefferson,1912.0,1914.0,True,6.0,2.0,44.7429,-120.7789,Oregon
MAUDLIN,MT,Rosebud,1916.0,1926.0,True,4.0,10.0,46.78639,-106.5389,Montana
MAUDLOWE,TX,Refugio,1915.0,1933.0,True,2.0,18.0,28.42667,-96.89082,Texas
MAUNA LOA,HI,MOLOKAI,1926.0,1928.0,True,5.0,2.0,21.13211,-157.2113,Hawaii
MAURINE,SD,Meade,1926.0,1960.0,True,1.0,34.0,45.02304,-102.5935,South Dakota
MAVERICK,AZ,Apache,1948.0,1967.0,True,1.0,19.0,33.74283,-109.5473,Arizona
MAXVILLE,MT,Granite,1912.0,1979.0,True,1.0,67.0,46.46465,-113.2342,Montana
MAXVILLE,OR,Wallowa,1923.0,1933.0,True,4.0,10.0,45.74598,-117.5569,Oregon
MAYARO,CA,Butte,1930.0,1956.0,True,1.0,26.0,39.82405,-121.4222,California
MAYDAY,CO,La Plata,1913.0,1914.0,True,7.0,1.0,37.35055,-108.0767,Colorado
